JoinID,ReleaseYear,markersource,M1.loc,M2.loc,FMC,FSM,FWM,SSM,SWM,FMC.circ,smolt.circ,marine.circ,total.circ,FSM.circ,FWM.circ,SSM.circ,SWM.circ,FS.circ,FW.circ,PS.circ,SS.circ,SW.circ,Y2.circ,M1,M2,smolt.incr,marine.incr,total.incr,FS.incr,FW.incr,PS.incr,SS.incr,SW.incr,Y2.incr
1975_18679,1975,human,3.3169,4.743,1.6006,2.363,3.277,4.4509,4.743,53,52,59,111,67,84,101,108,15,17,32,17,7,24,84,108,1.5020000000000002,3.3377,4.839700000000001,0.8760999999999999,0.8914,1.7674999999999998,1.134,0.29210000000000047,1.4261000000000004
1975_19817,1975,human,2.8498,4.1126,1.2419,2.1482,2.8498,3.6992,4.0348,52,51,56,107,67,81,96,102,16,14,30,15,8,23,81,104,1.1357,3.0508000000000006,4.1865000000000006,0.9461000000000002,0.6997,1.6458000000000002,0.911,0.35179999999999945,1.2627999999999995
1975_21385,1975,human,2.6589,4.4112,1.2649,2.2568,2.5204,4.0262,4.3259,41,40,63,103,59,65,91,98,19,9,28,23,10,33,68,101,1.1701,3.2975999999999996,4.4677,1.0184000000000002,0.4020999999999999,1.4205,1.3673000000000002,0.42849999999999966,1.7957999999999998
1975_23318,1975,human,3.1154,4.7955,1.4487,2.2792,2.7419,3.7564,4.7594,45,44,70,114,59,68,88,109,15,18,33,11,22,33,77,110,1.2306,3.5382999999999996,4.7688999999999995,0.8759999999999999,0.8362000000000003,1.7122000000000002,0.641,1.0390999999999995,1.6800999999999995
1975_23345,1975,human,2.6181,3.5926,1.1811,1.9242,2.5366,3.2551,3.5565,31,30,54,84,45,60,73,80,15,17,32,11,8,19,62,81,0.9355,2.5886000000000005,3.5241000000000002,0.7847999999999999,0.6939000000000002,1.4787000000000001,0.637,0.3374999999999999,0.9744999999999999
1975_24199,1975,human,2.3169,3.5038,1.2741,1.7614,2.2297,3.1359,3.4639,44,43,50,93,52,63,80,88,9,14,23,14,9,23,66,89,1.2134,2.3865,3.5999,0.4892000000000001,0.6048,1.094,0.7696999999999998,0.36960000000000015,1.1393
1975_71218,1975,human,3.07,4.0352,1.3842,2.2015,3.07,3.3393,4.0352,50,49,53,102,65,82,86,98,16,17,33,4,12,16,82,98,1.2761,2.8670999999999998,4.1432,0.9082999999999999,0.8153999999999999,1.7236999999999998,0.35530000000000017,0.6079999999999997,0.9632999999999998
1975_72611,1975,human,2.613,3.7905,0.9595,1.5852,2.4366,3.362,3.5971,29,28,62,90,39,56,74,79,11,21,32,14,10,24,60,84,0.7331,3.0688,3.8019,0.6265,1.0278,1.6543,0.7490000000000001,0.4285000000000001,1.1775000000000002
1975_73541,1975,human,2.8845,4.487,1.3635,2.0595,2.454,3.9825,4.4889,55,54,66,120,69,77,103,114,15,17,32,17,11,28,86,114,1.2706,3.4193000000000007,4.689900000000001,0.7263,0.8250000000000002,1.5513000000000001,1.0979999999999999,0.5064000000000002,1.6044
1975_74785,1975,human,3.4301,5.1386,1.5283,2.3873,3.2121,4.3536,5.1386,44,43,67,110,58,72,91,106,15,18,33,15,15,30,76,106,1.4165,3.8179999999999996,5.2345,0.9574999999999998,0.9746000000000001,1.9321,0.9936000000000003,0.7130000000000001,1.7066000000000003
1975_74788,1975,human,2.7873,4.145,1.2704,1.881,2.7873,3.3296,4.1469,45,44,65,109,58,79,90,108,14,21,35,11,18,29,79,108,1.1764,2.9409,4.1173,0.6428,0.9063000000000001,1.5491000000000001,0.5423,0.8172999999999995,1.3595999999999995
1975_74907,1975,human,2.5657,3.8931,1.043,1.7168,2.5657,3.3223,3.9253,33,32,54,86,44,59,73,86,12,15,27,14,12,26,59,85,0.9196999999999999,2.9203,3.84,0.7118000000000002,0.8489,1.5607000000000002,0.8153999999999999,0.512,1.3274
1975_76203,1975,human,2.7944,4.6769,1.1811,2.1176,2.6996000000000002,3.6607,4.5043,46,45,67,112,64,74,90,104,19,12,31,14,18,32,76,108,1.1109,3.6778000000000004,4.7887,1.0104,0.6238000000000001,1.6342,0.9459,0.9365999999999999,1.8824999999999998
1975_76602,1975,human,2.7206,4.0686,1.4162,2.0381,2.5348,3.4221,4.0686,49,48,63,111,62,74,92,107,14,17,31,13,15,28,79,107,1.2997,2.8371000000000004,4.1368,0.6493,0.6825000000000001,1.3318,0.7014999999999998,0.6465000000000001,1.3479999999999999
1975_76848,1975,human,2.8003,4.7133,1.3727,2.1291,2.8003,3.6724,4.7133,40,39,57,96,51,63,77,95,12,12,24,14,18,32,63,95,1.2646,3.3842,4.6488,0.7583000000000002,0.6715,1.4298000000000002,0.9400999999999997,0.9726000000000004,1.9127
1975_77465,1975,human,2.7153,4.5622,1.3766,2.2356,2.6736,4.0029,4.3423,41,40,60,100,55,63,86,91,15,10,25,21,10,31,65,96,1.1762,3.4302,4.606400000000001,0.8972,0.5381999999999998,1.4353999999999998,1.2932000000000006,0.49489999999999945,1.7881
1975_77601,1975,human,3.5002,5.127,1.6572,2.7341,3.066,4.4747,5.091,58,57,67,124,76,82,104,117,19,14,33,14,14,28,90,118,1.5548,3.758,5.3128,1.1224000000000003,0.7660999999999998,1.8885,0.9745000000000004,0.6522999999999994,1.6267999999999998
1975_78695,1975,human,2.9334,4.566,1.3292,2.3399,2.9334,4.0958,4.5262,43,42,61,103,60,72,90,99,18,12,30,18,10,28,72,100,1.1869999999999998,3.4093,4.596299999999999,1.0459000000000003,0.5923999999999996,1.6382999999999999,1.1639,0.47060000000000013,1.6345
1975_79319,1975,human,2.6111,4.2969,1.4449,1.919,2.5713,3.6617,3.9613,35,34,54,88,42,54,70,76,8,13,21,15,13,28,55,83,1.3312,3.1534000000000004,4.4846,0.5655000000000001,0.6517999999999999,1.2173,1.0506000000000002,0.6834000000000002,1.7340000000000004
1975_79809,1975,human,2.939,4.346,1.4676,2.3967,2.939,4.0938,4.3081,53,52,60,112,69,81,101,106,17,12,29,20,6,26,81,107,1.3576,3.1153999999999997,4.473,0.9727000000000001,0.5423,1.5150000000000001,1.1547999999999998,0.2522000000000002,1.407
1975_80214,1975,human,2.7759,4.1942,1.4638,1.7387,2.774,3.6823,4.1487,48,47,61,108,53,75,91,102,6,22,28,16,12,28,75,103,1.2951,2.9731,4.2682,0.3157000000000001,1.0362,1.3519,0.9064000000000001,0.5119000000000002,1.4183000000000003
1975_80550,1975,human,2.6375,4.1127,1.0618,1.8184,2.3759,3.4661,3.9686,34,33,65,98,48,59,80,90,15,17,32,15,14,29,65,94,0.9097,3.2178000000000004,4.1275,0.7589000000000001,0.8172000000000001,1.5761000000000003,0.8285999999999998,0.6466000000000003,1.4752
1975_80634,1975,human,3.6328,5.379,1.7311,2.7928,3.2327,4.8462,5.1382,59,58,64,122,76,84,110,115,18,15,33,19,11,30,91,121,1.6078000000000001,3.7513000000000005,5.359100000000001,1.1224,0.8399999999999999,1.9624,1.2678999999999996,0.47829999999999995,1.7461999999999995
1975_80979,1975,human,2.8176,4.1354,1.4486,2.1274,2.8176,3.7543,3.9951,46,45,59,104,57,73,90,94,12,16,28,17,8,25,73,98,1.3387,2.9932,4.3319,0.7129000000000001,0.6909999999999998,1.4039,0.9984999999999999,0.3184999999999998,1.3169999999999997
1975_82459,1975,human,2.9598,4.5392,1.3709,2.3113,2.6867,4.1031,4.4899,45,44,59,103,61,67,92,100,17,12,29,19,8,27,73,100,1.2078,3.3526999999999996,4.560499999999999,1.0447,0.6560000000000001,1.7007,1.1457000000000002,0.36549999999999994,1.5112
1975_82542,1975,human,2.8039,4.0949,1.2588,1.9565,2.6617,3.329,3.9508,40,39,56,95,52,65,76,88,13,16,29,8,15,23,68,91,1.0503,3.0579,4.1082,0.7393999999999998,0.8474000000000002,1.5868,0.5251000000000001,0.7666999999999997,1.2917999999999998
1975_82835,1975,human,2.8215,4.1128,1.1927,1.7274,2.8215,3.8132,4.1128,37,36,62,98,47,69,86,93,11,22,33,17,7,24,69,93,1.0031,3.159,4.1621,0.5764,1.0940999999999999,1.6704999999999999,0.9917000000000002,0.29959999999999987,1.2913000000000001
1975_83066,1975,human,2.8105,4.1608,1.3332,2.2037,2.5355,3.5482,4.1191,49,48,53,101,64,70,85,95,16,12,28,9,11,20,76,96,1.2688,3.1329000000000002,4.401700000000001,0.9027000000000001,0.6617999999999999,1.5645,0.6827000000000001,0.6126,1.2953000000000001
1975_85362,1975,human,2.7628,4.7406,1.1662,1.9645,2.7154,3.9404,4.7406,44,43,70,113,58,73,91,107,15,16,31,17,16,33,74,107,1.0448,3.8740000000000006,4.9188,0.8306,0.7983,1.6289,1.1785999999999999,0.7991999999999999,1.9777999999999998
1975_85831,1975,human,3.3243,4.9287,1.5417,2.4103,3.2769,4.4166,4.7864,49,48,63,111,63,79,95,102,15,17,32,15,11,26,80,106,1.2147999999999999,3.6372999999999998,4.8521,0.9085999999999999,0.9138000000000002,1.8224,1.0922999999999998,0.5121000000000002,1.6044
1975_86568,1975,human,2.5029,3.6291,0.9898,1.8051,2.4251,3.3447,3.5931,41,40,54,94,55,68,84,90,15,15,30,14,7,21,70,91,0.8761,2.7929,3.669,0.8607999999999999,0.6978,1.5585999999999998,0.8418000000000001,0.2844000000000002,1.1262000000000003
1975_87618,1975,human,2.6129,4.2739,1.1339,2.027,2.6129,3.5553,4.217,38,37,60,97,56,67,80,93,19,11,30,13,15,28,67,95,0.9614000000000001,3.2519,4.2133,0.9272,0.5858999999999996,1.5130999999999997,0.9424000000000001,0.7186000000000003,1.6610000000000005
1975_88799,1975,human,2.91,3.8238,1.2948,2.4,2.6806,3.3043,3.5925,51,50,56,106,69,75,86,91,19,11,30,6,10,16,80,96,1.1885999999999999,3.0806000000000004,4.2692000000000005,1.145,0.5100000000000002,1.6550000000000002,0.3942999999999999,0.5194999999999999,0.9137999999999997
1975_89201,1975,human,2.7516,3.7093,1.4204,1.9684,2.7516,3.3964,3.6732,53,52,55,107,64,82,94,101,12,18,30,12,8,20,82,102,1.2819,2.5317,3.8136,0.5878999999999999,0.7831999999999999,1.3710999999999998,0.6448,0.31289999999999996,0.9577
1975_89918,1975,human,2.8691,4.1661,1.2743,2.0973,2.8691,3.5233,4.1244,42,41,61,102,57,73,84,96,16,16,32,11,13,24,73,97,1.0714000000000001,3.1269,4.1983,0.8495000000000001,0.7717999999999998,1.6213,0.6547999999999998,0.6431,1.2978999999999998
1976_1438,1976,human,2.5033,3.6013,1.1644,1.9173,2.4748,3.2789,3.4154,36,35,55,90,48,62,79,82,13,14,27,17,8,25,62,87,0.935,2.6056,3.5406,0.7946,0.5859999999999999,1.3805999999999998,0.8097000000000003,0.2902,1.0999000000000003
1976_4134,1976,human,2.8407,3.9026,1.5152,1.9437,2.6643,3.4608,3.8287,59,58,57,115,67,82,97,106,9,19,28,11,11,22,86,108,1.3976000000000002,2.7155000000000005,4.1131,0.4626999999999999,0.897,1.3597,0.6200999999999999,0.4418000000000002,1.0619
1976_5022,1976,human,2.3171,3.3581,1.1358,1.8639,2.0934,2.647,3.3581,33,32,56,88,48,53,64,80,16,11,27,5,16,21,59,80,0.9310999999999999,2.5636,3.4947,0.7545999999999999,0.45320000000000005,1.2078,0.33119999999999994,0.7098,1.041
1976_5923,1976,human,2.5082,3.7689,1.3005,1.7176,2.4721,3.2532,3.6911,53,52,55,107,59,76,91,100,7,18,25,14,11,25,77,102,1.2304,2.6238,3.8542,0.41900000000000004,0.7906,1.2096,0.7450000000000001,0.5162999999999998,1.2612999999999999
1976_5977,1976,human,2.9063,3.9831,1.5963,2.0058,2.8077,3.439,3.9831,59,58,58,116,65,81,95,108,7,19,26,11,13,24,84,108,1.4654999999999998,2.7224000000000004,4.1879,0.4651000000000003,0.8998999999999997,1.365,0.5327000000000002,0.5440999999999998,1.0768
1976_7075,1976,human,3.3349,4.5445,1.7746,2.4324,3.0676,3.752,4.3189,61,60,56,116,71,84,96,107,11,19,30,6,16,22,90,112,1.6703000000000001,3.0031,4.6734,0.6994999999999998,0.9025000000000003,1.602,0.4170999999999996,0.7925000000000004,1.2096
1976_7956,1976,human,3.2008,4.1337,1.7141,2.1332,2.9106,3.7279,4.0711,51,50,63,113,58,75,93,102,8,24,32,11,11,22,82,104,1.5796000000000001,2.8499,4.4295,0.47209999999999996,1.0676,1.5397,0.5270999999999999,0.40580000000000016,0.9329000000000001
1976_8291,1976,human,3.2183,4.3448,1.4679,2.1809,2.7821,3.5578,4.2974,52,51,56,107,64,74,87,100,13,18,31,5,14,19,82,101,1.4015,3.1917999999999997,4.5933,0.7384,1.0367000000000002,1.7751000000000001,0.3397999999999999,0.7867000000000002,1.1265
1976_8654,1976,human,2.9543,4.3519,1.4411,1.9683,2.522,3.728,4.259,44,43,62,105,51,62,87,98,8,21,29,15,12,27,72,99,1.3273000000000001,3.2342,4.5615,0.5290999999999999,0.986,1.5151,0.8301000000000003,0.5674999999999994,1.3975999999999997
1976_9243,1976,human,2.6835,4.0187,1.4413,2.0729,2.4161,3.3985,3.8897,59,58,56,114,70,78,96,106,12,13,25,13,12,25,83,108,1.3674,2.9282,4.2956,0.6657000000000002,0.6105999999999998,1.2763,0.7833000000000001,0.5518999999999998,1.3352
1976_9490,1976,human,2.9767,4.0499,1.5073,2.0249,2.6411,3.7636,4.0499,54,53,61,114,62,75,97,104,9,21,30,14,7,21,83,104,1.3594000000000002,3.0583,4.4177,0.5517000000000001,0.9518,1.5035,0.8494999999999999,0.2237,1.0732
1976_9829,1976,human,2.5716,3.8042,1.5285,2.0747,2.4521,3.296,3.8042,55,54,56,110,65,74,90,103,11,13,24,12,13,25,78,103,1.3085,2.619,3.9275,0.5954999999999999,0.5499999999999998,1.1454999999999997,0.6713,0.5097,1.181
1976_11876,1976,human,2.6013,3.9873,1.6343,1.9491,2.2354,3.3673,3.9873,59,58,54,112,65,71,95,108,7,15,22,15,13,28,80,108,1.4767000000000001,2.5921000000000003,4.0688,0.35109999999999997,0.6522000000000001,1.0033,0.8238999999999996,0.6000000000000001,1.4238999999999997
1976_11879,1976,human,2.5499,3.3576,1.3157,1.9072,2.2978,3.1225,3.2779,36,35,50,85,46,56,73,77,11,16,27,11,7,18,62,80,1.1015000000000001,2.3541,3.4556,0.6332,0.6427999999999998,1.2759999999999998,0.5725000000000002,0.2824,0.8549000000000002
1976_12733,1976,human,2.3003,3.2504,1.1928,1.428,2.2169,2.8844,3.1214,30,29,46,75,34,51,64,69,5,19,24,11,8,19,53,72,0.952,2.2510000000000003,3.203,0.25980000000000003,0.8742000000000001,1.1340000000000001,0.5821999999999998,0.3679000000000001,0.9501
1976_12842,1976,human,2.9508,4.3163,1.5152,2.2511,2.5184,3.461,4.2423,46,45,58,103,59,64,81,97,14,14,28,8,18,26,73,99,1.3521,3.0191000000000003,4.3712,0.8344999999999998,0.6466000000000003,1.4811,0.5101999999999998,0.8571000000000004,1.3673000000000002
1976_13692,1976,human,2.6148,3.6463,1.2704,1.9492,2.4214,3.0206,3.5705,42,41,53,94,54,63,74,85,13,13,26,7,13,20,67,87,1.2006999999999999,2.8025,4.0032000000000005,0.7079,0.6648999999999998,1.3727999999999998,0.40580000000000016,0.6276000000000002,1.0334000000000003
1976_14181,1976,human,2.2777,3.482,1.1758,1.6443,2.2341,2.6798,3.3341,30,29,56,85,39,53,61,74,10,15,25,7,17,24,54,78,0.825,2.6589,3.4839,0.5083000000000002,0.6333999999999997,1.1417,0.40210000000000035,0.8022,1.2043000000000004
1976_14301,1976,human,2.5329,3.5453,1.2646,1.9205,2.5329,3.1566,3.4676,39,38,49,87,50,64,75,81,12,14,26,11,8,19,64,83,1.0891,2.5072,3.5963000000000003,0.70630000000000015,0.61240000000000006,1.3187000000000002,0.6236999999999999,0.38870000000000005,1.0124
1976_14341,1976,human,3.1404,4.265,1.6214,2.2548,3.1404,2.0026,4.1948,47,46,54,100,58,78,54,95,12,20,32,26,43,19,78,97,1.4896999999999998,2.8067,4.2964,0.6751,0.952,1.6271,1.3389000000000002,2.2623999999999995,1.0562999999999998
1976_14561,1976,human,2.5886,4.0033,1.2289,1.8964,2.4407,3.1594,4.0033,47,46,60,106,60,72,84,98,14,16,30,8,14,22,76,98,1.1416000000000002,3.1651,4.3067,0.7036,0.7358,1.4394,0.5987,0.7724000000000002,1.3711000000000002
1976_14817,1976,human,2.4495,3.3899,1.1982,1.5262,2.3889,2.751,3.1965,28,27,51,78,33,50,56,65,6,18,24,5,14,19,51,70,0.8659000000000001,2.5595,3.4254000000000002,0.37159999999999993,0.9221000000000001,1.2937,0.30079999999999973,0.6395,0.9402999999999997
1976_15680,1976,human,2.4477,3.8602,0.9859,1.3082,2.3131,2.9596,3.8318,19,18,66,84,24,44,56,75,6,23,29,9,20,29,47,76,0.73,3.3146,4.0446,0.3526,1.1395000000000002,1.4921000000000002,0.5122999999999998,0.9001999999999999,1.4124999999999996
1976_16015,1976,human,2.4101,3.4549,1.06,1.663,2.4101,2.7817,3.3638,37,36,60,96,48,66,73,86,12,18,30,7,15,22,66,88,0.9632000000000001,2.7836,3.7468,0.6391,0.7470999999999999,1.3861999999999999,0.37159999999999993,0.6732,1.0448
1976_16805,1976,human,2.2777,3.5673,0.9615,1.5855,2.2416,2.858,3.5673,24,23,57,80,34,49,61,75,11,16,27,11,14,25,50,75,0.733,2.8608000000000002,3.5938000000000003,0.6248999999999999,0.6921999999999999,1.3171,0.5803000000000003,0.7092999999999998,1.2896
1976_17029,1976,human,2.3421,3.5122,1.0867,1.648,2.3421,3.1879,3.5122,32,31,55,86,42,57,72,82,11,15,26,15,10,25,57,82,0.861,2.6797000000000004,3.5407,0.5916999999999999,0.6940999999999999,1.2857999999999998,0.8458000000000001,0.36039999999999983,1.2062
1976_22882,1976,human,2.3851,3.9113,1.2646,1.5149,2.2429,3.1435,3.8241,30,29,57,86,34,49,63,77,5,18,23,11,16,27,52,79,1.0807,3.0164,4.0971,0.2863,0.9252000000000002,1.2115000000000002,0.7052999999999998,0.7659000000000002,1.4712
1976_24026,1976,human,2.5215,3.4448,1.1508,1.7233,2.5215,3.003,3.4448,34,33,58,91,44,62,70,80,11,18,29,8,10,18,62,80,1.0048,2.8551,3.8599,0.6132,0.7973000000000001,1.4105,0.48340000000000005,0.43989999999999974,0.9232999999999998
1977_116117,1977,human,2.3135,3.4721,0.9576,1.7351,1.883,3.1383,3.4721,25,24,55,79,40,44,66,74,16,12,28,14,8,22,52,74,0.732,2.7609000000000004,3.4929,0.8021,0.5783999999999998,1.3804999999999998,0.8248000000000002,0.33499999999999996,1.1598000000000002
1977_121182,1977,human,2.7159,3.7344,1.2499,1.8663,2.2873,3.1313,3.4973,40,39,57,96,52,62,80,88,13,19,32,9,14,23,71,94,1.0070999999999999,2.6041,3.6111999999999997,0.6620000000000001,0.8495999999999999,1.5116,0.4799000000000002,0.5385999999999997,1.0185
1977_121697,1977,human,3.002,4.2461,1.5304,2.141,3.0039,3.3339,4.1437,47,46,60,106,60,78,84,100,14,17,31,7,18,25,77,102,1.3636,2.9109,4.2745,0.6352,0.8609999999999998,1.4961999999999998,0.38880000000000026,0.8553000000000002,1.2441000000000004
1977_122470,1977,human,2.4401,3.5037,1.094,1.9983,2.4401,3.1757,3.4639,34,33,49,82,48,58,71,77,15,10,25,13,7,20,58,78,0.9092,2.5957,3.5049,0.9052,0.4418000000000002,1.3470000000000002,0.7355999999999998,0.3290000000000002,1.0646
1977_122689,1977,human,2.6071,3.7296,1.3026,1.7577,2.6071,2.8878,3.6462,49,48,56,104,57,75,80,96,9,18,27,5,18,23,75,98,1.1945,2.6887,3.8832,0.4930000000000001,0.8493999999999999,1.3424,0.28069999999999995,0.8418000000000001,1.1225
1977_124822,1977,human,2.5237,3.413,1.1718,1.4714,2.5237,3.2764,3.3409,39,38,54,92,45,67,83,85,7,22,29,16,4,20,67,87,0.9746,2.4668,3.4414000000000002,0.32430000000000003,1.0522999999999998,1.3765999999999998,0.7537000000000003,0.13559999999999972,0.8893
1977_125187,1977,human,3.1514,4.6076,1.4221,2.3247,3.1514,4.2132,4.4749,40,39,58,97,53,68,85,90,14,15,29,17,8,25,68,93,1.1718,3.3638,4.5356,0.9045000000000001,0.8267000000000002,1.7312000000000003,1.0617999999999994,0.3944000000000001,1.4561999999999995
1977_125839,1977,human,2.952,4.1673,1.2911,1.8353,2.952,3.3729,4.118,47,46,61,107,57,77,84,98,11,20,31,7,15,22,77,99,1.1186,3.3646000000000003,4.4832,0.6673,1.0523,1.7196,0.42090000000000005,0.7944,1.2153
1977_126028,1977,human,3.4257,4.6826,1.6057,2.2333,3.4257,4.1196,4.6826,47,46,66,112,56,75,85,99,10,19,29,10,14,24,75,99,1.3820999999999999,3.7598000000000003,5.1419,0.6805999999999999,1.1924000000000001,1.873,0.6939000000000002,0.5655999999999999,1.2595
1977_126116,1977,human,2.9672,4.3987,1.7405,2.406,2.8686,3.8394,4.3987,65,64,57,121,78,87,102,112,14,11,25,13,10,23,89,112,1.64,3.153,4.793,0.7034000000000002,0.5611999999999999,1.2646000000000002,0.8721999999999999,0.5592999999999999,1.4314999999999998
1977_126183,1977,human,2.8896,3.9419,1.7008,2.281,2.681,3.3143,3.9021,55,54,52,106,64,72,83,96,10,11,21,8,14,22,75,97,1.5851,2.6790999999999996,4.2642,0.6314000000000002,0.6086,1.2400000000000002,0.4227999999999996,0.6276000000000002,1.0503999999999998
1977_126210,1977,human,3.2102,4.6532,1.7445,2.4461,2.9429,4.1393,4.6134,60,59,57,116,72,81,100,109,13,14,27,14,10,24,86,110,1.6117,3.1932,4.8049,0.7339,0.7641,1.498,0.9291000000000005,0.5138999999999996,1.443
1977_127142,1977,human,2.8305,4.0457,1.2607,1.9338,2.6333,3.7348,3.9149,47,46,53,99,58,71,89,93,12,17,29,14,7,21,75,96,1.0806,2.9386,4.0192000000000005,0.7128999999999999,0.8966999999999998,1.6095999999999997,0.9043000000000001,0.3109000000000002,1.2152000000000003
1977_128041,1977,human,3.0204,4.3173,1.7557,2.1691,2.9787,3.1815,4.2774,65,64,58,122,73,91,95,118,9,19,28,3,24,27,92,119,1.6395,2.7535999999999996,4.3931,0.45569999999999977,0.8513000000000002,1.307,0.16110000000000024,1.1358000000000001,1.2969000000000004
1977_130125,1977,human,2.738,4.2359,1.3785,2.2488,2.738,3.8055,4.1525,59,58,67,125,77,89,105,112,19,12,31,16,9,25,89,114,1.3054,3.3930999999999996,4.6985,0.9431999999999998,0.4913000000000003,1.4345,1.0215999999999998,0.42890000000000006,1.4505
1977_133971,1977,human,3.0495,4.4283,1.4963,2.528,3.0078,3.7038,4.4283,58,57,60,117,77,88,99,113,20,11,31,11,14,25,88,113,1.3901,3.151,4.5411,1.0601,0.5223999999999998,1.5824999999999998,0.6540000000000004,0.7239,1.3779000000000003
1977_135491,1977,human,2.9428,3.8814,1.3197,2.1256,2.7494,3.5098,3.8397,37,36,54,90,50,62,76,84,14,16,30,10,8,18,66,84,0.9917,2.8290999999999995,3.8207999999999998,0.8077999999999999,0.8172000000000001,1.625,0.5669999999999997,0.3716000000000004,0.9386000000000001
